Actual,Predicted
176869.38486243706,157386.29396643423
163110.63437848398,159188.82589226853
185114.70291590592,144461.1567311264
87539.94187443733,144503.76932164104
38518.22881958242,128134.72577969459
159711.54595038487,141200.02888003833
104442.71685845595,151077.21879859257
130622.34330702752,150494.01544391227
106018.37649596432,133494.55032721715
196083.9159551345,151498.48886411486
101577.63704630308,138551.29104283094
158672.24180538394,184966.56014911574
147949.60858697176,135533.90027642477
93579.83343000738,134299.76191008565
130392.1731746788,155382.59841723042
158561.7882187151,137540.70962806098
208463.4415459456,188990.05690034985
184331.87329556583,145951.5887853497
75451.32332452304,133592.69190336595
210669.58621313729,203122.33352560928
178287.4502956647,132168.40224780273
212296.45135437133,166581.13518735662
143474.81372583297,145128.66437823675
185998.3083006951,137852.01794986762
175479.0162461978,162267.5608454541
70956.61513953666,135558.5264935694
90163.30542573876,142234.6195599444
198817.64313254887,180350.76984313564
180382.0025411743,133184.32266153072
155490.79850733624,161860.64933379105
169129.9204491466,148267.9710428702
149188.95252165996,163470.70521589415
157238.91238437663,138382.4907905716
142508.4985762114,168870.00579660127
166740.18038765114,147077.47290235467
176699.81652478682,169747.85316312217
181558.34056352507,158966.09931407377
204416.29274302552,158948.7370067865
164947.4450981894,178633.8489571571
78766.34111317582,136888.71246649948
65745.48720325918,135659.192975451
168929.91434655688,137750.36032857295
168461.45434390052,159506.9914460166
168508.14154015572,141775.47396312893
193571.51438548704,167814.34609334002
168266.13779423214,155741.80229173673
129368.10055277435,128843.6228575951
197883.08112923856,136031.9529950636
127036.48373906311,166300.6968899999
149181.83450821045,166673.51439200813
211179.64287962604,183959.766586414
210595.64564251105,179332.6836581834
195245.011194968,169749.26106276544
187012.1505033419,137843.02202927181
171146.88417991283,161148.78495532105
132585.2843090719,146066.35677298336
214957.6500121408,168424.58836162952
45704.233496794055,146012.01690088143
157957.381790547,165231.15382189068
177642.9566189685,138821.5008897377
183481.43744934368,190572.33118392684
132414.17762180505,183501.93336239527
180315.01453779844,190586.40173087982
127241.75599546882,128121.4703525175
210080.7237956144,154698.9206328793
108199.85668782495,168718.56914668425
168029.7969132284,156014.73098935792
110923.2862170455,134522.8890009923
198571.6081089628,196650.44678831287
172998.85795496128,141439.33690484098
198494.040257516,188009.48863944068
144289.73381514667,153110.8639423317
153296.29028459446,167194.89974049103
140824.09089502075,154821.22693760708
181358.9489700912,144297.8888443902
113129.5042280947,161821.95097810106
115794.55113553746,127791.8764427731
171215.8465970234,155843.7813162819
133631.7787186661,154004.79736110903
91567.78542561585,139681.235397243
176599.88098297594,138231.07266816864
146360.87442512752,135397.16022300185
187227.7344770413,175205.25905731757
128601.40111538988,145871.1702638857
131718.94483008474,152357.8227752751
58361.963164565226,129804.87057540496
140991.66158092918,165748.48753121862
121460.59573525617,178877.1504098789
194170.9916842773,165682.84578876596
193899.4111901219,175958.37447282465
180886.07293340465,161464.89833800294
89460.78146959569,145211.33369473414
160146.8357857971,157786.9519280524
142108.33536183077,130136.36610131798
202477.4496080453,180049.09180074133
178038.31740414532,134134.4977384455
202330.19150290964,148982.8391747682
196469.3371914267,166579.90024619517
178907.14089686066,154259.47278698318
147076.60445561464,146790.19825202605
195851.8884664856,155903.37521830876
177676.89335390448,147738.3720993928
144252.2802185118,128704.90517809382
149464.87423665097,169455.71961603314
212249.46049387,225648.80742151669
129731.05918715934,166862.3944209804
124601.97139449004,125289.652902286
106780.9497476881,128511.07863088131
162815.6193060813,133261.2888477852
102033.81219150008,140526.50064958
